,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
18512,2017-11-02,1115288,281261.0,131500,117300.00,2.0,2.0,838.0,0.0,149655.0,7,7,2017,1.0,3.0,1.0,139400.0
18517,2017-11-01,1110132,299122.38,191050,184900.00,3.0,2.0,1560.0,0.0,252143.0,23,9,2016,1.0,4.0,2.0,193600.0
18544,2017-10-31,1112886,124359.01,139025,125116.44,1.0,1.0,1067.0,0.0,165475.0,22,18,2016,1.0,6.0,1.0,131100.0
18553,2017-10-31,1109586,135357.52,200146,98339.00,3.0,1.0,1216.0,7350.0,225508.0,22,7,2014,1.0,4.0,2.0,185100.0
18598,2017-10-30,1098329,614964.5,254238,267971.74,6.0,3.0,3155.0,6954.0,416946.0,66,36,2016,1.0,11.0,1.0,316800.0
18625,2017-10-27,1109148,380313.65,162604,99000.00,2.0,1.0,1520.0,7875.0,207125.0,18,1,2012,0.0,27.0,2.0,164000.0
18630,2017-10-27,1114045,600882.49,295339,256500.00,3.0,2.0,1421.0,8957.0,331568.0,18,2,2012,1.0,13.0,3.0,291300.0
18644,2017-10-25,1109197,319052.34,226243,149980.00,5.0,3.0,1870.0,7500.0,260082.0,9,4,2016,1.0,6.0,1.0,180400.0
18645,2017-10-25,1114684,595651.46,492166,595651.46,2.0,2.0,1255.0,0.0,761237.0,9,9,2017,1.0,5.0,1.0,595700.0
18708,2017-10-23,1091628,464394.68,294383,235300.00,3.0,2.0,1582.0,7600.0,337929.0,46,26,2016,1.0,45.0,1.0,275200.0
18718,2017-10-23,1106171,220513.22,146969,147600.00,4.0,2.0,1200.0,7900.0,195792.0,46,25,2016,0.0,2.0,5.0,151600.0
18729,2017-10-20,1107918,317260.02,180756,140487.45,3.0,1.0,1208.0,7875.0,106160.0,21,14,2016,1.0,6.0,3.0,189600.0
18781,2017-10-18,1110782,96892.07,203959,96892.07,3.0,2.0,1321.0,4880.0,241287.0,58,33,2016,1.0,7.0,2.0,172200.0
18825,2017-10-17,1104685,282800.05,96970,89100.00,1.0,1.0,555.0,0.0,112428.0,34,15,2016,1.0,4.0,1.0,89200.0
18885,2017-10-16,1108160,1098601.38,880341,566359.78,4.0,3.0,4213.0,17640.0,1082943.0,69,50,2016,1.0,3.0,3.0,601800.0
18907,2017-10-13,1110266,94194.37,276036,95381.97,3.0,2.0,1572.0,6542.0,296739.0,35,13,2016,1.0,4.5,1.0,246000.0
18968,2017-10-11,1105095,305393.41,301416,243250.00,3.0,2.0,1689.0,9041.0,333256.0,80,33,2015,0.0,8.0,5.0,270400.0
18974,2017-10-11,1106161,325125.92,161000,140725.02,3.0,2.0,1540.0,1760.0,200680.0,80,11,2012,1.0,4.0,2.0,172200.0
19005,2017-10-11,1113093,11169.89,84700,11169.89,1.0,1.0,553.0,0.0,275900.0,80,55,2016,1.0,4.0,1.0,11300.0
19028,2017-10-10,1110454,628880.62,1082765,745969.81,2.0,2.0,2055.0,13900.0,1136801.0,79,7,2010,0.0,2.0,11.0,746000.0
