,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
11524,2018-09-18,1169841,47039.05,54600,1.0,1.0,784.0,243200.0,78,66,2017,3.0,1.0,47039.05
11545,2018-09-18,1170211,627084.81,395118,2.0,2.0,1280.0,571753.0,78,39,2016,6.0,1.0,374994.93
11581,2018-09-17,1155512,153210.08,122100,1.0,1.0,978.0,142668.0,58,33,2016,3.0,2.0,156538.17
11622,2018-09-12,1165829,506616.84,178000,1.0,1.0,1005.0,218023.0,70,41,2016,7.0,1.0,192139.69
11628,2018-09-12,1154424,195172.94,109200,1.0,1.0,750.0,129341.0,70,49,2017,3.0,1.0,117900.00
11638,2018-09-12,1159310,817727.65,254000,2.0,2.0,1116.0,383130.0,70,53,2017,3.0,1.0,830054.84
11715,2018-09-11,1163729,184632.47,187920,2.0,2.0,968.0,215756.0,91,77,2017,3.0,1.0,187100.07
11730,2018-09-11,1165247,286307.77,123000,3.0,2.0,1519.0,164900.0,91,79,2017,5.0,1.0,156000.00
11772,2018-09-05,1167415,327350.01,161455,2.0,2.0,1200.0,225249.0,52,19,2015,5.0,1.0,221000.00
11800,2018-09-05,1166113,269319.37,162545,1.0,1.0,507.0,228473.0,52,30,2016,8.0,1.0,202406.36
11821,2018-09-04,1146780,332329.91,144000,2.0,2.0,937.0,223372.0,35,16,2016,11.0,1.0,333320.49
11857,2018-08-29,1165080,204958.44,127000,1.0,1.0,710.0,157208.0,46,37,2017,8.0,1.0,158000.00
11872,2018-08-29,1165406,151385.9,102463,1.0,1.0,730.0,130901.0,46,44,2018,3.0,2.0,151385.90
11884,2018-08-28,1163738,27285.96,98400,2.0,2.0,1050.0,126489.0,92,45,2016,2.0,1.0,27600.00
11886,2018-08-28,1165695,207180.41,107415,1.0,1.0,750.0,262500.0,92,43,2016,7.0,1.0,115900.00
11890,2018-08-28,1164849,260735.32,65982,1.0,1.0,658.0,75006.0,92,71,2017,3.0,1.0,71000.00
