,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Status Binary
19900,2017-09-13,1104363,320932.59,155012,200029.00,1.0,1.0,630.0,242358.0,52,42,2017,4.0,2.0,0.0
19935,2017-09-12,1100360,330370.61,195000,224796.00,1.0,1.0,870.0,268505.0,38,15,2014,9.0,5.0,0.0
19951,2017-09-11,1105682,160079.7,122100,160079.70,1.0,1.0,630.0,273100.0,80,59,2016,3.0,2.0,0.0
19978,2017-09-11,1106359,417088.18,126320,122500.00,1.0,1.0,609.0,167848.0,80,58,2016,17.0,2.0,0.0
20018,2017-09-08,1099214,347265.93,175416,347265.93,1.0,2.0,875.0,243792.0,63,61,2016,4.0,3.0,0.0
20086,2017-09-07,1087692,761042.56,497004,703751.05,2.0,3.0,1497.0,648408.0,64,13,2014,4.0,5.0,0.0
20092,2017-09-07,1082093,295315.6,127056,110000.00,2.0,2.0,970.0,144014.0,64,21,2015,7.0,2.0,0.0
20108,2017-09-06,1102769,210990.1,132400,141530.00,1.0,1.0,825.0,166733.0,42,33,2016,6.0,1.0,1.0
20110,2017-09-06,1101126,209701.14,105057,106110.00,1.0,1.0,709.0,152039.0,42,38,2016,6.0,1.0,1.0
20123,2017-09-06,1103296,118284.68,70000,79000.00,1.0,1.0,685.0,125095.0,42,24,2016,5.0,1.0,1.0
20149,2017-09-05,1098868,8762.79,105057,14217.15,1.0,1.0,709.0,784000.0,53,46,2016,1.0,4.0,0.0
20176,2017-09-05,1103573,181330.99,113000,129000.00,1.0,1.0,749.0,129834.0,53,21,2015,3.0,1.0,1.0
20202,2017-09-01,1091935,199600.81,88000,65000.00,2.0,1.0,863.0,82843.0,23,4,2013,5.0,1.0,1.0
20218,2017-08-31,1096186,112404.66,128700,121669.64,2.0,2.0,866.0,143361.0,14,5,2013,114.0,4.0,1.0
20235,2017-08-30,1074190,797135.13,366300,295591.00,0.0,1.0,660.0,397234.0,41,6,2013,5.0,1.0,1.0
20249,2017-08-30,1102559,312317.91,184303,301215.00,1.0,1.0,856.0,377524.0,41,36,2016,5.0,2.0,0.0
20253,2017-08-30,1101591,200342.03,195946,153900.00,3.0,2.0,1325.0,232900.0,41,12,2014,4.0,7.0,1.0
20258,2017-08-30,1098437,181484.63,139628,126500.00,2.0,1.0,783.0,146214.0,41,32,2016,3.0,1.0,1.0
20275,2017-08-29,1102969,273193.46,102700,273193.46,1.0,1.0,714.0,135822.0,41,41,2017,5.0,2.0,0.0
20287,2017-08-29,1102967,199827.63,74150,106467.60,2.0,2.0,907.0,122168.0,41,19,2015,6.0,1.0,1.0
20290,2017-08-29,1097988,110945.77,173275,113946.95,2.0,1.0,1032.0,184026.0,41,32,2016,2.0,2.0,1.0
20292,2017-08-29,1097278,810332.5,901444,960332.50,3.0,2.0,2224.0,427800.0,41,21,2015,1.0,6.0,1.0
20309,2017-08-28,1084685,391491.77,202860,220000.00,1.0,1.0,810.0,260135.0,60,36,2015,3.0,1.0,1.0
20340,2017-08-28,1096706,385090.59,62244,127980.00,3.0,2.0,1255.0,157503.0,60,11,2013,4.0,8.0,0.0
