,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Sold Amount
7078,2019-05-13,1193386,238935.88,156450,148982.73,2.0,2.0,845.0,198076.0,89,29,2016,4.0,1.0,157400.0
7107,2019-05-13,1206535,18031.85,80000,18031.85,1.0,1.0,830.0,109544.0,89,84,2018,1.0,1.0,18100.0
7140,2019-05-13,1202706,117911.76,123200,116485.75,2.0,2.0,793.0,149142.0,89,63,2018,4.0,1.0,116500.0
7189,2019-05-07,1192571,290447.1,122535,119000.00,0.0,0.0,723.0,145210.0,29,23,2018,8.0,1.0,119100.0
7226,2019-05-06,1206916,376996.85,200346,191070.96,2.0,2.0,935.0,272517.0,61,18,2016,6.0,1.0,191100.0
7231,2019-05-06,1202440,7879.93,128000,7961.92,3.0,2.0,1379.0,149281.0,61,60,2018,1.0,1.0,119300.0
7241,2019-05-06,1200880,272179.68,125600,171000.00,2.0,2.0,940.0,188860.0,61,43,2018,2.0,1.0,171100.0
7300,2019-04-30,1205014,117093.19,127347,95875.00,0.0,0.0,1150.0,152240.0,41,12,2015,3.0,3.0,111000.0
7350,2019-04-29,1205737,172031.49,96300,81500.00,1.0,1.0,550.0,117812.0,65,63,2018,3.0,1.0,81600.0
7489,2019-04-17,1201158,82799.15,107100,87509.08,2.0,1.0,850.0,163593.0,27,13,2017,2.0,2.0,150100.0
7635,2019-04-08,1196344,57792.54,103000,2000.00,1.0,1.0,887.0,126956.0,86,17,2015,3.0,3.0,10100.0
7703,2019-04-08,1199203,228901.29,268900,234009.19,1.0,2.0,1214.0,368852.0,86,82,2018,4.0,2.0,265100.0
7804,2019-04-01,1186482,266677.51,190826,199900.00,2.0,1.0,926.0,292944.0,80,54,2018,5.0,1.0,200000.0
7864,2019-03-27,1198989,317662.13,189482,219830.00,1.0,1.0,762.0,367000.0,45,35,2018,4.0,1.0,228200.0
7887,2019-03-27,1198319,711069.55,698600,716248.99,2.0,2.0,1097.0,648916.0,45,41,2018,5.0,1.0,716300.0
7893,2019-03-27,1197648,681810.68,442095,437750.00,3.0,2.0,1453.0,671195.0,45,34,2018,5.0,2.0,437800.0
8072,2019-03-18,1184811,89746.5,105652,92002.54,1.0,1.0,628.0,401000.0,78,3,2012,9.0,1.0,105600.0
8091,2019-03-13,1196775,33273.64,66950,33474.99,2.0,1.0,1075.0,91826.0,17,4,2014,11.0,6.0,44800.0
8098,2019-03-13,1189876,141102.18,111500,115202.50,0.0,0.0,918.0,167000.0,17,10,2017,2.5,1.0,118100.0
8128,2019-03-11,1197560,183565.5,698600,70000.00,2.0,2.0,1097.0,648916.0,87,71,2018,3.0,2.0,100000.0
8270,2019-03-04,1194404,9287.77,162750,12296.80,3.0,2.0,1325.0,198651.0,72,59,2017,2.0,3.0,12300.0
8277,2019-03-04,1194358,226238.16,247864,190000.00,2.0,2.0,791.0,416366.0,72,69,2018,3.0,1.0,216000.0
8295,2019-03-04,1190046,80224.6,144800,92609.66,2.0,1.0,743.0,150862.0,72,35,2016,7.0,8.0,100300.0
8338,2019-02-27,1195029,137899.16,160650,138900.13,2.0,2.0,1030.0,191042.0,41,37,2018,9.0,1.0,139000.0
8373,2019-02-26,1190368,65673.59,153000,69142.59,2.0,2.0,824.0,176906.0,47,36,2018,7.0,1.0,150200.0
8411,2019-02-26,1194912,365388.75,230100,200000.00,3.0,2.0,1740.0,273838.0,47,47,2018,4.0,1.0,201200.0
8464,2019-02-25,1192643,11703.52,203900,13500.00,1.0,1.0,600.0,244387.0,65,62,2018,2.0,2.0,55100.0
8553,2019-02-19,1190339,273426.92,263000,242000.00,2.0,2.0,1244.0,345205.0,82,81,2018,3.0,1.0,250100.0
