,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
12244,2018-08-14,1160012,490680.08,236135,495300.00,3.0,2.0,1200.0,40946.4,275441.0,33,33,2017,1.0,32.0,1.0,150100.0
12247,2018-08-14,1162591,467882.97,373621,313000.00,4.0,3.0,1820.0,5650.0,659054.0,33,3,2011,0.0,3.0,2.0,312100.0
12271,2018-08-13,1148628,515168.43,232900,410000.00,2.0,2.0,1340.0,0.0,384333.0,68,23,2015,1.0,4.0,1.0,405100.0
12293,2018-08-13,1148505,2155095.82,1233107,1444442.70,4.0,3.0,3408.0,8367.0,2000694.0,68,33,2016,1.0,8.0,1.0,500100.0
12298,2018-08-13,1153388,494216.06,210000,361949.71,3.0,2.0,1464.0,0.0,271496.0,68,27,2016,1.0,3.0,3.0,360100.0
12314,2018-08-13,1143234,437961.31,293130,325000.00,3.0,2.0,1869.0,5467.0,423422.0,68,20,2015,1.0,8.0,1.0,320100.0
12324,2018-08-13,1163735,368835.09,249235,365667.66,6.0,5.0,2463.0,6300.0,410002.0,68,15,2014,1.0,3.0,1.0,360100.0
12341,2018-08-08,1159257,469209.54,233666,220000.00,4.0,3.0,1733.0,7875.0,264685.0,41,13,2015,0.0,4.0,4.0,219100.0
12351,2018-08-08,1160669,289446.96,152000,186700.00,3.0,2.0,1120.0,0.0,301200.0,41,27,2016,1.0,8.0,4.0,185100.0
12365,2018-08-07,1161895,1428106.17,701765,1428106.17,5.0,4.0,4000.0,31798.0,1416416.0,61,53,2017,0.0,7.0,3.0,100.0
12379,2018-08-07,1158685,440057.14,290691,385000.00,3.0,2.0,1120.0,9975.0,360825.0,61,50,2017,0.0,2.0,1.0,1100.0
12380,2018-08-07,1164218,420617.78,155400,423847.86,2.0,2.0,922.0,0.0,224577.0,61,39,2017,1.0,4.0,1.0,300100.0
