,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
15433,2018-03-26,1135229,316422.45,151000,172200.00,2.0,2.0,1033.0,0.0,203137.0,60,26,2016,1.0,4.0,1.0,1.0
15438,2018-03-23,1135665,105729.97,102711,103320.00,1.0,2.0,937.0,0.0,215640.0,31,17,2016,1.0,10.0,1.0,1.0
15439,2018-03-23,1119485,626277.57,229564,269000.00,3.0,1.0,1070.0,9150.0,376754.0,31,1,2009,0.0,4.0,1.0,1.0
15442,2018-03-23,1139596,990367.08,520268,710937.51,4.0,3.0,2402.0,6750.0,759165.0,31,11,2013,1.0,4.0,9.0,0.0
15450,2018-03-23,1134354,321923.66,155836,148000.00,3.0,2.0,1200.0,3600.0,198532.0,31,24,2016,1.0,10.0,2.0,1.0
15451,2018-03-23,1139404,246329.99,170540,258000.00,5.0,2.0,1995.0,10725.0,286451.0,31,14,2015,1.0,3.0,12.0,0.0
15455,2018-03-23,1139589,187526.57,175640,223474.32,4.0,2.0,2183.0,8550.0,343160.0,31,7,2013,1.0,4.0,2.0,0.0
15458,2018-03-23,1139593,265571.8,166268,191218.91,3.0,1.0,1056.0,7500.0,222866.0,31,21,2016,0.0,5.0,5.0,0.0
15460,2018-03-23,1134239,1295056.24,1072000,1170000.00,1.0,2.0,1429.0,0.0,3338100.0,31,9,2013,1.0,5.0,5.0,1.0
15470,2018-03-22,1137871,65062.6,234534,75714.94,3.0,2.0,1402.0,3303.0,305119.0,38,19,2015,1.0,14.0,4.0,0.0
15485,2018-03-22,1137663,702043.88,306866,500000.00,2.0,2.0,1280.0,0.0,745806.0,38,6,2013,1.0,7.0,3.0,0.0
15486,2018-03-22,1138335,403395.08,226502,279900.00,1.0,1.0,791.0,0.0,327923.0,38,29,2016,1.0,6.0,1.0,1.0
15491,2018-03-22,1138718,188155.24,440146,294097.26,4.0,3.0,2489.0,11102.0,566356.0,38,1,2007,0.0,9.0,6.0,0.0
15493,2018-03-22,1140931,360801.45,216000,214900.00,3.0,2.0,1478.0,0.0,352843.0,38,22,2015,1.0,5.0,1.0,1.0
15505,2018-03-21,1136992,252737.07,127322,269866.09,3.0,2.0,2142.0,7851.0,278633.0,72,34,2015,0.0,5.0,6.0,1.0
15506,2018-03-21,1137356,53068.45,156553,61176.25,4.0,2.0,1055.0,4350.0,135899.0,72,25,2014,0.0,7.0,4.0,1.0
15509,2018-03-21,1136673,240561.75,192500,230000.00,3.0,2.0,1705.0,1760.0,230175.0,72,1,2009,1.0,6.0,9.0,0.0
15512,2018-03-21,1137570,207376.38,148541,177835.59,3.0,2.0,1115.0,1735.0,221545.0,72,64,2017,1.0,4.0,1.0,1.0
15514,2018-03-21,1137229,369709.73,144129,127687.00,3.0,1.0,1265.0,8550.0,219902.0,72,40,2016,1.0,2.0,9.0,0.0
15516,2018-03-21,1137410,244295.03,262449,231000.00,4.0,2.0,1504.0,6900.0,284596.0,72,63,2017,0.0,27.0,2.0,0.0
15517,2018-03-21,1138162,78065.68,140000,40000.00,3.0,2.0,1160.0,0.0,167990.0,72,30,2015,1.0,1.0,3.0,1.0
