,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,ZEstimate,Day Count,Place in Line,Court Year,Defendant Count,Previous Auctions,Plaintiff Max Bid
15568,2018-03-20,1139141,254408.81,111089,2.0,2.0,804.0,158709.0,21,5,2015,10.0,1.0,104447.93
15609,2018-03-19,1138209,187078.08,91290,2.0,2.0,940.0,102749.0,64,33,2016,4.0,2.0,51707.70
15668,2018-03-16,1136097,285232.23,168286,2.0,2.0,955.0,199520.0,27,11,2016,10.0,1.0,141973.52
15697,2018-03-15,1136701,13770.32,234000,2.0,2.0,1286.0,342859.0,114,65,2017,2.0,1.0,15493.82
15831,2018-03-12,1132974,270940.93,126442,2.0,1.0,952.0,154472.0,33,22,2016,3.0,2.0,125300.00
15905,2018-03-07,1134995,58990.19,488000,2.0,2.0,1340.0,692669.0,11,3,2012,1.0,6.0,58990.19
15918,2018-03-06,1135995,9577.77,100937,1.0,1.0,722.0,118309.0,23,21,2017,4.0,1.0,9577.77
15922,2018-03-06,1136001,198354.22,70300,1.0,1.0,813.0,95423.0,23,13,2016,7.0,1.0,71886.62
16010,2018-03-02,1131110,80224.6,144800,2.0,1.0,743.0,140769.0,19,14,2016,7.0,8.0,87874.26
16135,2018-02-23,1119692,152609.59,168592,1.0,1.0,760.0,171529.0,14,14,2017,4.0,1.0,115500.00
16174,2018-02-21,1133042,260797.2,22975,1.0,1.0,603.0,131452.0,33,5,2010,5.0,2.0,76375.00
16177,2018-02-21,1134764,160079.7,122100,1.0,1.0,630.0,267300.0,33,20,2016,3.0,2.0,162000.00
16226,2018-02-20,1129479,8376.27,142000,3.0,2.0,1264.0,183068.0,45,27,2016,1.0,2.0,8376.27
16243,2018-02-16,1132569,8062.5,205000,2.0,2.0,1010.0,256753.0,44,27,2016,1.0,2.0,8062.50
16444,2018-02-08,1131328,203387.4,150200,2.0,2.0,970.0,180186.0,73,21,2017,7.0,2.0,108471.99
16449,2018-02-08,1127418,195549.83,169496,2.0,2.0,1350.0,211987.0,73,18,2017,6.0,1.0,145283.98
16540,2018-02-05,1126689,310358.02,195000,3.0,2.0,1260.0,227923.0,34,28,2016,5.0,1.0,196362.90
16546,2018-02-02,1127576,206902.0,156450,2.0,2.0,845.0,186355.0,11,11,2017,2.0,5.0,140774.35
16571,2018-02-01,1130981,126400.83,118000,2.0,2.0,898.0,343900.0,72,5,2014,3.0,5.0,88269.00
16587,2018-01-31,1130346,133415.73,203900,0.0,1.0,570.0,249343.0,21,10,2015,9.0,2.0,140184.79
16771,2018-01-24,1130328,195423.96,118346,1.0,1.0,750.0,238700.0,62,39,2016,9.0,1.0,71300.00
