,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
2466,2020-02-18,1248021,215652.6,159030,3.0,2.0,1376.0,10880.0,252541.0,99,53,2018,0.0,6.0,1.0,191700.0
2480,2020-02-18,1231239,383824.33,159642,3.0,2.0,1416.0,1787.0,248873.0,99,42,2017,1.0,8.0,1.0,201300.0
2481,2020-02-18,1249576,480044.2,257045,3.0,2.0,2387.0,7500.0,416439.0,99,72,2018,0.0,3.0,2.0,1600.0
2487,2020-02-18,1247607,300830.48,168927,3.0,2.0,1175.0,8175.0,260504.0,99,90,2019,0.0,4.0,1.0,226600.0
2497,2020-02-12,1249199,852993.21,289268,6.0,3.0,3183.0,6000.0,367913.0,38,31,2019,1.0,12.0,1.0,220800.0
2500,2020-02-12,1249340,403076.07,317132,4.0,3.0,2690.0,4950.0,399457.0,38,13,2018,1.0,11.0,1.0,310900.0
2503,2020-02-12,1249349,278596.73,169400,2.0,1.0,986.0,7500.0,266187.0,38,32,2019,0.0,6.0,1.0,213900.0
2504,2020-02-12,1249354,481335.14,149825,3.0,2.0,1544.0,5200.0,369209.0,38,17,2018,1.0,3.0,1.0,169100.0
2511,2020-02-12,1246812,504129.45,126797,2.0,2.0,1566.0,8280.0,345096.0,38,4,2016,0.0,1.0,2.0,275100.0
2520,2020-02-12,1249331,344357.58,311598,4.0,2.0,2745.0,18433.0,405503.0,38,6,2017,1.0,67.0,1.0,69100.0
2521,2020-02-12,1249350,266331.34,76448,1.0,1.0,964.0,7875.0,184747.0,38,27,2019,0.0,2.0,1.0,70500.0
2526,2020-02-12,1249341,336158.43,93732,3.0,1.0,999.0,6000.0,228522.0,38,37,2019,0.0,5.0,1.0,77800.0
2527,2020-02-12,1245976,492475.24,981483,5.0,6.0,4287.0,9064.0,1225200.0,38,25,2019,0.0,3.0,4.0,20100.0
2534,2020-02-11,1248823,1194531.79,1291574,5.0,3.0,2621.0,6000.0,1478680.0,10,3,2018,1.0,8.0,1.0,998100.0
2541,2020-02-10,1248770,647075.86,439595,4.0,3.0,3060.0,21584.0,638908.0,68,27,2017,0.0,7.0,1.0,169100.0
2542,2020-02-10,1247231,241771.79,95041,2.0,1.0,1360.0,8845.23,243924.0,68,46,2018,1.0,3.0,1.0,1200.0
2548,2020-02-10,1240637,420080.93,250028,4.0,2.0,1910.0,4200.0,380800.0,68,14,2016,0.0,4.0,1.0,321200.0
