,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Status Binary
181,2021-01-12,1278412,337023.86,129119,3.0,2.0,1453.0,15006.0,344496.0,41,8,2017,0.0,1.0,3.0,0.0
184,2021-01-12,1279549,595743.8,403978,5.0,4.0,3945.0,7761.0,587610.0,41,27,2019,1.0,4.0,2.0,1.0
187,2021-01-12,1278198,35996.08,189746,3.0,2.0,1035.0,30100.0,300938.0,41,16,2018,0.0,3.0,5.0,1.0
188,2021-01-12,1273115,418748.9,170430,4.0,2.0,2050.0,12330.0,328887.0,41,18,2018,0.0,3.0,2.0,0.0
189,2021-01-12,1279111,247157.13,201708,3.0,2.0,1656.0,7500.0,316345.0,41,13,2018,0.0,5.0,6.0,0.0
190,2021-01-12,1281286,340529.26,196810,3.0,2.0,1658.0,9000.0,291065.0,41,15,2018,0.0,3.0,4.0,0.0
191,2021-01-12,1272005,375624.94,142047,4.0,2.0,2591.0,7950.0,360935.0,41,17,2018,1.0,3.0,3.0,1.0
192,2021-01-12,1279019,1037122.11,377490,4.0,3.0,2169.0,7255.0,442001.0,41,5,2015,1.0,7.0,2.0,1.0
193,2021-01-12,1277096,16192.75,360851,4.0,3.0,2650.0,4006.0,520656.0,41,23,2019,1.0,3.0,2.0,1.0
200,2021-01-12,1281280,182039.85,191347,3.0,2.0,1842.0,8200.0,369733.0,41,22,2019,1.0,4.0,3.0,0.0
202,2021-01-12,1279689,491467.32,496593,4.0,3.0,2982.0,11790.0,763590.0,41,2,2014,0.0,7.0,1.0,1.0
204,2021-01-12,1279028,913038.22,630243,5.0,3.0,3646.0,15680.0,848410.0,41,9,2017,1.0,7.0,3.0,1.0
205,2021-01-12,1279445,10726.91,215200,3.0,2.0,1308.0,1400.0,294655.0,41,41,2020,1.0,2.0,1.0,0.0
206,2021-01-12,1278210,232091.81,276955,3.0,2.0,1420.0,4827.0,395699.0,41,33,2019,0.0,4.0,2.0,1.0
