,Date,Auction ID,Final Judgment,Assessed Value,Plaintiff Max Bid,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Sold Amount
3041,2020-01-13,1243172,244330.84,89687,198085.17,4.0,2.0,1667.0,6627.0,255926.0,72,59,2019,1.0,2.0,1.0,69100.0
3043,2020-01-13,1243423,1676614.76,511328,677600.00,3.0,2.0,1790.0,5750.0,702069.0,72,35,2018,0.0,3.0,2.0,560100.0
3045,2020-01-13,1237415,284083.01,122527,253000.00,0.0,3.0,2422.0,11531.0,317177.0,72,63,2019,0.0,3.0,1.0,253100.0
3052,2020-01-13,1240957,418245.75,358050,463491.93,3.0,2.0,1756.0,6000.0,432471.0,72,12,2016,1.0,4.0,7.0,100.0
3064,2020-01-13,1243603,419500.94,277369,279900.00,6.0,3.0,1400.0,9000.0,354579.0,72,33,2018,1.0,2.0,2.0,281100.0
3066,2020-01-08,1244123,684806.22,265518,704101.34,3.0,2.0,1799.0,5141.0,366186.0,58,4,2012,1.0,7.0,2.0,400100.0
3076,2020-01-08,1236891,333265.96,65456,229000.00,3.0,2.0,1519.0,5400.0,306841.0,58,29,2018,1.0,3.0,2.0,5100.0
3082,2020-01-08,1239891,277813.45,98873,231072.00,2.0,1.0,1786.0,10571.4,331548.0,58,15,2017,0.0,2.0,2.0,5100.0
3113,2020-01-08,1231351,425816.67,225000,268400.00,3.0,2.0,1670.0,1800.0,290197.0,58,14,2017,1.0,5.0,1.0,248100.0
3131,2020-01-07,1239507,184708.98,164117,126650.00,1.0,2.0,790.0,2160.0,150158.0,86,68,2019,1.0,6.5,3.0,126800.0
3139,2020-01-07,1240921,287061.63,231779,231500.00,3.0,2.0,1535.0,5101.0,295269.0,86,10,2014,0.0,12.0,5.0,220100.0
3142,2020-01-07,1243162,233452.38,188487,190209.55,4.0,2.0,1560.0,7520.0,250000.0,86,86,2019,0.0,1.0,1.0,191300.0
3147,2020-01-07,1240646,276837.71,67073,164000.00,3.0,1.0,816.0,5000.0,193763.0,86,56,2018,1.0,3.0,1.0,100.0
3157,2020-01-07,1241984,287942.97,252710,283500.00,3.0,2.0,2146.0,4950.0,393603.0,86,16,2016,1.0,5.0,4.0,600.0
3173,2020-01-07,1242816,91042.9,221995,92164.59,5.0,2.0,1819.0,1.0,301423.0,86,51,2018,1.0,2.0,1.0,194100.0
3190,2020-01-07,1240261,372607.27,311617,347490.00,4.0,2.0,2188.0,21708.0,401283.0,86,21,2016,0.0,2.0,5.0,600.0
3194,2020-01-07,1243079,326146.23,388056,334136.81,3.0,2.0,2828.0,5265.0,464578.0,86,71,2019,0.0,2.0,1.0,334200.0
