,Date,Auction ID,Final Judgment,Assessed Value,Beds,Bath,Living Area,Lot Size,ZEstimate,Day Count,Place in Line,Court Year,Association Binary,Defendant Count,Previous Auctions,Plaintiff Max Bid
15309,2018-03-28,1139135,176839.98,255161,3.0,2.0,1398.0,3405.0,320313.0,33,27,2017,0.0,2.0,1.0,176839.98
15318,2018-03-28,1139123,351458.05,145043,4.0,2.0,1188.0,6000.0,186034.0,33,21,2016,0.0,6.0,1.0,105300.00
15345,2018-03-27,1138702,396139.34,274232,3.0,1.0,1794.0,10125.0,317010.0,50,15,2013,0.0,2.0,3.0,256500.00
15369,2018-03-27,1138336,155396.48,262606,3.0,2.0,1786.0,5382.0,355399.0,50,29,2016,1.0,20.0,4.0,165539.26
15373,2018-03-27,1139148,365787.0,367400,2.0,2.0,952.0,0.0,292200.0,50,48,2017,1.0,4.0,4.0,395127.00
15395,2018-03-26,1139143,418843.03,310859,2.0,2.0,1552.0,0.0,433458.0,60,14,2015,1.0,5.0,4.0,418843.00
15405,2018-03-26,1121872,370516.16,223177,3.0,2.0,1367.0,7927.0,288912.0,60,40,2016,0.0,2.0,1.0,198450.00
15407,2018-03-26,1121456,407464.78,162400,1.0,1.0,802.0,5460.0,209017.0,60,45,2016,1.0,6.0,1.0,138150.00
15413,2018-03-26,1137331,125437.3,256172,2.0,1.0,1025.0,9075.0,287945.0,60,44,2016,0.0,6.0,4.0,125437.30
15439,2018-03-23,1119485,626277.57,229564,3.0,1.0,1070.0,9150.0,376754.0,31,1,2009,0.0,4.0,1.0,269000.00
15450,2018-03-23,1134354,321923.66,155836,3.0,2.0,1200.0,3600.0,198532.0,31,24,2016,1.0,10.0,2.0,148000.00
15493,2018-03-22,1140931,360801.45,216000,3.0,2.0,1478.0,0.0,352843.0,38,22,2015,1.0,5.0,1.0,214900.00
15506,2018-03-21,1137356,53068.45,156553,4.0,2.0,1055.0,4350.0,135899.0,72,25,2014,0.0,7.0,4.0,61176.25
15512,2018-03-21,1137570,207376.38,148541,3.0,2.0,1115.0,1735.0,221545.0,72,64,2017,1.0,4.0,1.0,177835.59
15522,2018-03-21,1137366,202580.3,184549,3.0,2.0,1311.0,8307.0,215390.0,72,52,2016,0.0,2.0,2.0,176840.00
15525,2018-03-21,1136883,284458.89,187110,4.0,2.0,1300.0,7524.0,198124.0,72,23,2014,0.0,2.0,4.0,144000.00
15533,2018-03-21,1137228,16283.2,357319,0.0,0.0,1760.0,0.0,721845.0,72,62,2017,1.0,1.0,4.0,20210.07
15542,2018-03-21,1138494,323240.22,344391,4.0,3.0,1984.0,6000.0,416514.0,72,54,2016,0.0,2.0,1.0,325731.07
15546,2018-03-21,1137571,55720.71,242832,3.0,3.0,1334.0,6045.0,289323.0,72,68,2017,0.0,5.0,1.0,56407.16
15556,2018-03-21,1137353,258403.62,194454,4.0,2.0,1176.0,8325.0,200892.0,72,2,2009,0.0,6.0,2.0,136334.68
15560,2018-03-21,1138164,188488.17,223927,3.0,2.0,1353.0,4250.0,298370.0,72,39,2015,0.0,8.0,1.0,189687.52
15568,2018-03-20,1139141,254408.81,111089,2.0,2.0,804.0,0.0,158709.0,21,5,2015,1.0,10.0,1.0,104447.93
15574,2018-03-20,1137626,562424.04,292715,4.0,2.0,1612.0,6750.0,329190.0,21,4,2013,0.0,3.0,9.0,264900.00
15575,2018-03-20,1133807,248868.77,298772,3.0,2.0,2219.0,8040.0,336440.0,21,10,2015,0.0,2.0,2.0,220000.00
15594,2018-03-19,1133995,403047.15,274440,4.0,3.0,1880.0,4400.0,333720.0,64,58,2017,1.0,4.0,1.0,193325.66
15609,2018-03-19,1138209,187078.08,91290,2.0,2.0,940.0,0.0,102749.0,64,33,2016,1.0,4.0,2.0,51707.70
15668,2018-03-16,1136097,285232.23,168286,2.0,2.0,955.0,0.0,199520.0,27,11,2016,1.0,10.0,1.0,141973.52
15697,2018-03-15,1136701,13770.32,234000,2.0,2.0,1286.0,0.0,342859.0,114,65,2017,1.0,2.0,1.0,15493.82
15705,2018-03-15,1136019,113397.83,174723,3.0,2.0,1092.0,5160.0,209320.0,114,43,2016,0.0,8.0,4.0,106250.00
15721,2018-03-15,1136025,237777.47,160946,2.0,1.0,986.0,10500.0,213738.0,114,34,2016,1.0,3.0,4.0,138345.83
15817,2018-03-12,1132716,506606.44,199000,4.0,2.0,2040.0,2563.0,747387.0,33,12,2016,1.0,3.0,3.0,194400.00
